A 	RNA processing and modification
B 	Chromatin Structure and dynamics
C 	Energy production and conversion
D 	Cell cycle control and mitosis
E 	Amino Acid metabolis and transport
F 	Nucleotide metabolism and transport
G 	Carbohydrate metabolism and transport
H 	Coenzyme metabolism
I 	Lipid metabolism
J 	Translation
K 	Transcription
L 	Replication and repair
M 	Cell wall/membrane/envelope biogenesis
N 	Cell motility
O 	Post-translational modification
P 	Inorganic ion transport and metabolism
Q 	Secondary Structure
T 	Signal Transduction
U 	Intracellular trafficking and secretion
V 	Defense mechanisms	
Y 	Nuclear structure
Z 	Cytoskeleton
R 	General Functional Prediction only
S 	Function Unknown
